date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:08:00	109/109	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Mar%202024%2007:08:00%20GMT	https://hostz.top/robots.txt		(from )
15:08:01	736311/736311	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Dec%202023%2007:04:52%20GMT	https://hostz.top/tmp/Y105OH/	/Users/zhu/httrack%20page/stocks/hostz.top/tmp/Y105OH/index.html	(from )
15:08:02	86659/86659	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265609d04-15283%22	https://hostz.top/tmp/Y105OH/static/js/jquery-3.2.1.min.js	/Users/zhu/httrack%20page/stocks/hostz.top/tmp/Y105OH/static/js/jquery-3.2.1.min.js	(from https://hostz.top/tmp/Y105OH/)
15:08:03	37334/37334	---MCZ	200	added ('OK')	text/css	etag:W/%2265609d6a-91d6%22	https://hostz.top/tmp/Y105OH/static/css/font-awesome.css	/Users/zhu/httrack%20page/stocks/hostz.top/tmp/Y105OH/static/css/font-awesome.css	(from https://hostz.top/tmp/Y105OH/)
15:08:04	87482/87482	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265609d0c-155ba%22	https://hostz.top/tmp/Y105OH/static/js/jquery.min.js	/Users/zhu/httrack%20page/stocks/hostz.top/tmp/Y105OH/static/js/jquery.min.js	(from https://hostz.top/tmp/Y105OH/)
15:08:05	12919/12919	---M--	200	added ('OK')	font/woff2	etag:%2265609d5a-3277%22	https://hostz.top/tmp/Y105OH/static/font/KFOmCnqEu92Fr1Mu4mxKKTU1Kg.woff2	/Users/zhu/httrack%20page/stocks/hostz.top/tmp/Y105OH/static/font/KFOmCnqEu92Fr1Mu4mxKKTU1Kg.woff2	(from https://hostz.top/tmp/Y105OH/)
15:08:05	12845/12845	---M--	200	added ('OK')	font/woff2	etag:%2265609d58-322d%22	https://hostz.top/tmp/Y105OH/static/font/KFOlCnqEu92Fr1MmYUtfBBc4AMP6lQ.woff2	/Users/zhu/httrack%20page/stocks/hostz.top/tmp/Y105OH/static/font/KFOlCnqEu92Fr1MmYUtfBBc4AMP6lQ.woff2	(from https://hostz.top/tmp/Y105OH/)
15:08:07	13163/13163	---M--	200	added ('OK')	font/woff2	etag:%2265609d56-336b%22	https://hostz.top/tmp/Y105OH/static/font/KFOlCnqEu92Fr1MmSU5fBBc4AMP6lQ.woff2	/Users/zhu/httrack%20page/stocks/hostz.top/tmp/Y105OH/static/font/KFOlCnqEu92Fr1MmSU5fBBc4AMP6lQ.woff2	(from https://hostz.top/tmp/Y105OH/)
15:08:08	47204/47204	---MCZ	200	added ('OK')	text/css	etag:W/%2265609d76-b864%22	https://hostz.top/tmp/Y105OH/static/css/frontend.min.css	/Users/zhu/httrack%20page/stocks/hostz.top/tmp/Y105OH/static/css/frontend.min.css	(from https://hostz.top/tmp/Y105OH/)
15:08:09	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265609d1e-302c%22	https://hostz.top/tmp/Y105OH/static/js/rocket-loader.min.js	/Users/zhu/httrack%20page/stocks/hostz.top/tmp/Y105OH/static/js/rocket-loader.min.js	(from https://hostz.top/tmp/Y105OH/)
15:08:10	5839/5839	---MCZ	200	added ('OK')	text/css	etag:W/%2265609d64-16cf%22	https://hostz.top/tmp/Y105OH/static/css/css-Roboto100300400.css	/Users/zhu/httrack%20page/stocks/hostz.top/tmp/Y105OH/static/css/css-Roboto100300400.css	(from https://hostz.top/tmp/Y105OH/)
15:08:11	32838/32838	---MCZ	200	added ('OK')	text/css	etag:W/%2265609d60-8046%22	https://hostz.top/tmp/Y105OH/static/css/astra-addon-64e4dc55d8a566-49446320.css	/Users/zhu/httrack%20page/stocks/hostz.top/tmp/Y105OH/static/css/astra-addon-64e4dc55d8a566-49446320.css	(from https://hostz.top/tmp/Y105OH/)
15:08:12	19758/19758	---MCZ	200	added ('OK')	text/css	etag:W/%2265609d66-4d2e%22	https://hostz.top/tmp/Y105OH/static/css/elementor-icons.min.css	/Users/zhu/httrack%20page/stocks/hostz.top/tmp/Y105OH/static/css/elementor-icons.min.css	(from https://hostz.top/tmp/Y105OH/)
15:08:13	111647/111647	---MCZ	200	added ('OK')	text/css	etag:W/%2265609d72-1b41f%22	https://hostz.top/tmp/Y105OH/static/css/frontend-lite.min-3.15.2.css	/Users/zhu/httrack%20page/stocks/hostz.top/tmp/Y105OH/static/css/frontend-lite.min-3.15.2.css	(from https://hostz.top/tmp/Y105OH/)
15:08:14	12876/12876	---MCZ	200	added ('OK')	text/css	etag:W/%2265609d82-324c%22	https://hostz.top/tmp/Y105OH/static/css/swiper.min.css	/Users/zhu/httrack%20page/stocks/hostz.top/tmp/Y105OH/static/css/swiper.min.css	(from https://hostz.top/tmp/Y105OH/)
15:08:15	11336/11336	---MCZ	200	added ('OK')	text/css	etag:W/%2265609d6e-2c48%22	https://hostz.top/tmp/Y105OH/static/css/frontend-lite.min-3.15.1.css	/Users/zhu/httrack%20page/stocks/hostz.top/tmp/Y105OH/static/css/frontend-lite.min-3.15.1.css	(from https://hostz.top/tmp/Y105OH/)
15:08:16	519491/519491	---MCZ	200	added ('OK')	text/css	etag:W/%2265609d86-7ed43%22	https://hostz.top/tmp/Y105OH/static/css/uael-frontend.min.css	/Users/zhu/httrack%20page/stocks/hostz.top/tmp/Y105OH/static/css/uael-frontend.min.css	(from https://hostz.top/tmp/Y105OH/)
15:08:17	131794/131794	---MCZ	200	added ('OK')	text/css	etag:W/%2265609d78-202d2%22	https://hostz.top/tmp/Y105OH/static/css/post-1376.css	/Users/zhu/httrack%20page/stocks/hostz.top/tmp/Y105OH/static/css/post-1376.css	(from https://hostz.top/tmp/Y105OH/)
15:08:17	11626/11626	---MCZ	200	added ('OK')	text/css	etag:W/%2265609d7c-2d6a%22	https://hostz.top/tmp/Y105OH/static/css/post-404.css	/Users/zhu/httrack%20page/stocks/hostz.top/tmp/Y105OH/static/css/post-404.css	(from https://hostz.top/tmp/Y105OH/)
15:08:19	17597/17597	---MCZ	200	added ('OK')	text/css	etag:W/%2265609d80-44bd%22	https://hostz.top/tmp/Y105OH/static/css/post-409.css	/Users/zhu/httrack%20page/stocks/hostz.top/tmp/Y105OH/static/css/post-409.css	(from https://hostz.top/tmp/Y105OH/)
15:08:20	57912/57912	---MCZ	200	added ('OK')	text/css	etag:W/%2265609d6c-e238%22	https://hostz.top/tmp/Y105OH/static/css/fontawesome.min.css	/Users/zhu/httrack%20page/stocks/hostz.top/tmp/Y105OH/static/css/fontawesome.min.css	(from https://hostz.top/tmp/Y105OH/)
15:08:21	13577/13577	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265609d08-3509%22	https://hostz.top/tmp/Y105OH/static/js/jquery-migrate.min.js	/Users/zhu/httrack%20page/stocks/hostz.top/tmp/Y105OH/static/js/jquery-migrate.min.js	(from https://hostz.top/tmp/Y105OH/)
